index	video_id	views	upload_age	title
14	I1jXqUZzzro	7.8k views	3 days ago	BREAKING: Accenture Slashes Outlook - India's IT Giants Are Facing an AI-Driven Revenue Crisis
15	U22sTNY2cqo	1.5k views	3 days ago	EXCLUSIVE: India's First Orbital Edge AI Cloud - Neevcloud's Sovereign Infrastructure Bet
16	pxvL3Ajzabg	3.1k views	3 days ago	EXCLUSIVE: India's Chip Makers Unite at SNUG 2026 - Synopsys Bets Big on India's Design Edge
17	613wHQu7DPQ	2.3k views	3 days ago	BREAKING: Zomato Founder Deepinder Goyal Finds Biomarker That Wearables Have Missed for Years
18	LgBVgbfGuTM	5.5k views	3 days ago	EXCLUSIVE: Anthropic's Mythos Ban Is a Wake-Up Call - India Cannot Depend on US AI | Point Break EP3
19	qHBt2_UqpxU	46k views	3 days ago	HUGE: India Is Becoming the World's Electronics Factory - $5 Billion in May Exports Proves It
20	o81o0RfPd9g	3.2k views	3 days ago	BREAKING: Tamil Nadu Bets ₹100 Crore on Space - IN-SPACe Facility to Power Private Space Economy
21	eke_O942S6w	719 views	3 days ago	EXCLUSIVE: Exotel Launches India's First Agent Streaming Platform for Voice AI
22	APe7QZC4NxM	1.2k views	4 days ago	BREAKING: Meta's Internal AI Chief Is Out - Surveillance Scandal and Mass Reassignments Blamed
23	MCAarqMPWbU	5.2k views	4 days ago	BREAKING: Google's Vizag AI Hub Faces Revolt - Farmers and Dalits Take on a $15 Billion Project
24	6HTeKlqbr-w	596 views	4 days ago	BREAKING: Tim Cook Issues a Warning - AI's Chip Hunger Will Push iPhone Prices Higher
25	RcS7y9XnxxY	5.5k views	4 days ago	BREAKING: Trump Flags $20.5 Billion India-US Deal - America Doubles Down After UK's G7 Moment
26	dXC3rwr029w	1.2k views	4 days ago	BREAKING: G7 Becomes an AI War Room - World's Top AI CEOs Clash Over the Future of Intelligence
27	LP5dZOv8Gbo	1.9k views	4 days ago	BREAKING: India Is Rewiring Asia's AI Workforce - AVPN Close the Training Gap
28	HiQD_MQhP18	12k views	4 days ago	BREAKING: Reliance Builds India's AI Brain - Databricks Partnership Targets Population-Scale AI
29	iBUasN4-atw	6.8k views	4 days ago	ALERT: India's Defence Output Hits ₹1.78 Lakh Crore - Record Exports Signal a New Military Era
30	80bTlmN0wlQ	1.2k views	4 days ago	BREAKING: India Bans Telegram Before NEET - Pavel Durov Says 150 Million Users Are Punished
31	74WaHfIjNl4	9.6K views	4 days ago	BREAKING: Bengaluru Ranks Second in Asia for AI - $153 Billion Ecosystem Makes Global Top 15
32	1pebQ30nYAA	3.5K views	4 days ago	HUGE: Google Paid $2 Billion to Rehire Him - Now He's Crossing Over to OpenAI
33	Af6FrHCqhaY	3.1K views	4 days ago	BREAKING: Midjourney Pivots to Medicine - Its AI Body Scanner Is Taking On the MRI Industry
34	C6ypipwnHSU	355 views	5 days ago	BREAKING: Bootstrapped Playo Outlasts VC Giants - ₹40 Crore Revenue on Just $3 Million
35	ytHArJU4ch4	5.6K views	5 days ago	BREAKING: India Goes Capital Exporter - £1.3 Billion G7 Deal Funds UK's Clean Energy Future
36	drzuEnd_Vrg	3.1K views	5 days ago	ALERT: Cursor's 1.5T Model Reshapes Frontier AI - The App That Became a Giant
37	G3wc1iKVKGo	1.4K views	5 days ago	ALERT: Android 17 Is Here - Agentic Gemini Coming, Multitasking Overhaul, and Privacy Upgrades
38	vkPbacqLZXU	5.5K views	5 days ago	BREAKING: ChatGPT Falls Below 50% Market Share - OpenAI's AI Dominance Is Over
39	gvolC-bIMAU	6.8K views	5 days ago	BREAKING: $40 Billion Committed - RMZ Is Building India's Largest Data Infrastructure
40	ODNx19AvJy8	960 views	5 days ago	ALERT: SpaceX Is Now Worth $2.7 Trillion - How Cursor Helped Overtake Amazon
41	nFJVQEHu9Fs	2.6K views	5 days ago	BREAKING: Jio May File India's Biggest-Ever IPO - $4 Billion in Days
42	oFe1NUVVOdM	969 views	5 days ago	ALERT: Oracle to Train 300,000 in UP - India's AI Talent Pipeline Accelerates
43	rqy1a229szc	4.7K views	5 days ago	ALERT: Microsoft Brings DeepSeek to Copilot - Enterprise AI Gets a Cheaper Brain
44	bX01pKJ47cI	2K views	5 days ago	BREAKING: Wipro Launches Claude AI Centre of Excellence in Bengaluru
45	7SO1GpE-oxk	5.6K views	6 days ago	EXCLUSIVE: Inside Sarvam's $1.5B Valuation - Why HCLTech Bet Big on Sovereign AI
46	7zI8OgORtCg	4.3K views	6 days ago	BREAKING: India Shuts Telegram to Stop NEET Paper Leaks - Crackdown Begins
47	7R3WYupkZFo	11K views	6 days ago	BREAKING: Trump's Anthropic Ban Backfired - Global Sovereign AI Race Accelerates
48	l5y1anXGBj0	1K views	6 days ago	BREAKING: Bhashini x GeM Opens Government Markets to Millions in India
49	-Wi-2HWIyPU	15K views	6 days ago	BREAKING: DeepSeek Hits $50B - Liang Wenfeng Keeps Total Control
50	ugN1rkC_e1g	1.8K views	6 days ago	Anthropic Banned Mythos AI After It Found 26 Security Flaws in 3 Weeks | Ft. Unit 42's VP
51	BzDeUxToaiM	2.9K views	6 days ago	BREAKING: Salesforce Pays $3.6 Billion for Fin - Agentic AI Is Now the Core of Its Future
52	4OZGqOM_T1I	26K views	6 days ago	ALERT: MIT Dropout Builds Cursor Into a $60 Billion SpaceX Deal
53	BPTptACk0y4	10K views	6 days ago	BREAKING: Adani-Jabil Partnership Signals India's Race to Own the Hardware Powering AI
54	4GVJ2SFt_mI	4.8K views	6 days ago	BREAKING: Sarvam AI Is India's Newest Unicorn at $1.5 Billion - HCLTech Bets Big on Sovereign AI
55	E9QdYoLfJCA	3.5K views	7 days ago	"They Screwed Us": The Real Reason Trump Banned Anthropic!
56	M91971lB4B8	15K views	7 days ago	ALERT: 200 Stanford Grads Just WALKED OUT on Sundar Pichai’s Speech!
57	3v5aJtMxVqk	619 views	7 days ago	BREAKING: Razorpay’s Secret IPO: Why They’re Hiding Their Financials From SEBI
58	mczINsa2WX0	95K views	7 days ago	ALERT: Nadella’s Brutal Warning "AI Is About to Hollow Out Entire Industries"
59	SPyHl4gBLkg	95K views	7 days ago	BREAKING: India Just Overtook South Korea: The $1 Trillion Factory Boom
60	qHDVGn4c66Y	1.2K views	7 days ago	EXCLUSIVE: Kishore Lulla "We Are Building the Next Marvel Using AI!"
